Web-based Java Programming – MCQ Review (with Answers)
1.	Q1. Which method in HttpServlet handles client POST requests?
•	a) doGet()
•	b) doPost()  ✅
•	c) service()
•	d) init()
2.	Q2. JSP snippet with <%! int count = 0; %> and <% count++; %>. What is printed across multiple requests?
•	a) Always 1
•	b) Incremented value across requests  ✅
•	c) Compilation error
•	d) 0
3.	Q3. In JDBC, which interface is used for parameterized queries?
•	a) Statement
•	b) PreparedStatement  ✅
•	c) CallableStatement
•	d) ResultSet
4.	Q4. Which of the following is NOT a valid JSP directive?
•	a) <%@ page … %>
•	b) <%@ include … %>
•	c) <%@ taglib … %>
•	d) <%@ servlet … %>  ✅
5.	Q5. Servlet lifecycle methods are:
•	a) init(), service(), destroy()  ✅
•	b) start(), run(), stop()
•	c) init(), doGet(), doPost()
•	d) constructor(), service(), finalize()
6.	Q6. Servlet printing req.getParameter("name") with URL …?name=Nikita. What is printed?
•	a) Nothing
•	b) Nikita  ✅
•	c) Compilation error
•	d) NullPointerException
7.	Q7. Which JSP scope lasts until the web application is undeployed?
•	a) page
•	b) request
•	c) session
•	d) application  ✅
8.	Q8. In MVC architecture, JSP usually acts as:
•	a) Controller
•	b) View  ✅
•	c) Model
•	d) Dispatcher
9.	Q9. Which annotation in Spring marks a class as a controller?
•	a) @Service
•	b) @Controller  ✅
•	c) @RestController
•	d) @Component
10.	Q10. Default port of Tomcat server is:
•	a) 80
•	b) 443
•	c) 8080  ✅
•	d) 3306
11.	Q11. JSP EL expression: ${10/4}. What is the output?
•	a) 2.5  ✅
•	b) 2
•	c) 2.0
•	d) Compilation error
12.	Q12. Which JDBC method retrieves metadata about columns in a table?
•	a) getMetaData()  ✅
•	b) getColumnMetaData()
•	c) getColumns()
•	d) getTableInfo()
13.	Q13. HTTP status code for 'Resource Not Found' is:
•	a) 200
•	b) 302
•	c) 404  ✅
•	d) 500
14.	Q14. JSP snippet: <% int x = 5; %> <%= x * 2 %>. What is the output?
•	a) 10  ✅
•	b) 5
•	c) Compilation error
•	d) 2
15.	Q15. Which of the following is NOT true about Servlets?
•	a) They run on server side
•	b) They generate dynamic content
•	c) They are platform-dependent  ✅
•	d) They can handle both GET and POST
16.	Q16. Which tag in JSP is used to include another resource at request time?
•	a) <jsp:include>  ✅
•	b) <%@ include %>
•	c) <jsp:forward>
•	d) <jsp:param>
17.	Q17. Which interface in JDBC is used to call stored procedures?
•	a) Statement
•	b) PreparedStatement
•	c) CallableStatement  ✅
•	d) ResultSet
18.	Q18. Which method of HttpSession returns the unique session ID?
•	a) getId()  ✅
•	b) getSessionId()
•	c) getIdentifier()
•	d) getKey()
19.	Q19. Which JSP implicit object represents the output stream?
•	a) request
•	b) response
•	c) out  ✅
•	d) session
20.	Q20. Which filter method is called only once when the filter is instantiated?
•	a) doFilter()
•	b) init()  ✅
•	c) destroy()
•	d) service()
21.	Q21. Which of the following is NOT a valid scope in JSP?
•	a) page
•	b) request
•	c) module  ✅
•	d) session
22.	Q22. Which JDBC method is used to move the cursor to the next row in a ResultSet?
•	a) next()  ✅
•	b) moveNext()
•	c) advance()
•	d) forward()
23.	Q23. Which annotation in Spring is used to map HTTP requests to handler methods?
•	a) @RequestMapping  ✅
•	b) @Controller
•	c) @Autowired
•	d) @Service
24.	Q24. Which JSP action forwards the request to another resource?
•	a) <jsp:include>
•	b) <jsp:forward>  ✅
•	c) <jsp:param>
•	d) <jsp:useBean>
25.	Q25. Which HTTP method is idempotent?
•	a) POST
•	b) GET
•	c) PUT  ✅
•	d) DELETE
26.	Q26. Which JDBC driver type is pure Java and platform-independent?
•	a) Type-1
•	b) Type-2
•	c) Type-3
•	d) Type-4  ✅
27.	Q27. Which JSP directive is used to define error pages?
•	a) <%@ page errorPage=... %>  ✅
•	b) <%@ include errorPage=... %>
•	c) <%@ taglib errorPage=... %>
•	d) <%@ errorPage=... %>
28.	Q28. Which Servlet method is called when the server shuts down?
•	a) stop()
•	b) destroy()  ✅
•	c) finalize()
•	d) end()
29.	Q29. Which of the following is NOT a valid JDBC transaction isolation level?
•	a) READ_UNCOMMITTED
•	b) READ_COMMITTED
•	c) REPEATABLE_READ
•	d) READ_WRITE  ✅
30.	Q30. Which JSP implicit object is used to access initialization parameters?
•	a) config  ✅
•	b) application
•	c) session
•	d) request
31.	Q31. Which JSP implicit object represents the servlet context?
•	a) application  ✅
•	b) config
•	c) context
•	d) session
32.	Q32. Which JDBC method is used to roll back a transaction?
•	a) rollback()  ✅
•	b) cancel()
•	c) abort()
•	d) undo()
33.	Q33. Which tag in JSP is used to create and access a bean?
•	a) <jsp:useBean>  ✅
•	b) <jsp:setProperty>
•	c) <jsp:getProperty>
•	d) <jsp:bean>
34.	Q34. Which Servlet interface is used to receive notifications about attribute changes in a session?
•	a) HttpSessionListener
•	b) HttpSessionAttributeListener  ✅
•	c) ServletContextListener
•	d) ServletRequestListener
35.	Q35. Which of the following is NOT a valid HTTP status code?
•	a) 201
•	b) 304
•	c) 450  ✅
•	d) 503
36.	Q36. Which JSP directive is used to import Java classes?
•	a) <%@ page import=... %>  ✅
•	b) <%@ include import=... %>
•	c) <%@ taglib import=... %>
•	d) <%@ import=... %>
37.	Q37. Which JDBC method is used to execute an update query?
•	a) executeQuery()
•	b) executeUpdate()  ✅
•	c) execute()
•	d) update()
38.	Q38. Which Servlet method is called for both GET and POST requests if not overridden?
•	a) doGet()
•	b) doPost()
•	c) service()  ✅
•	d) init()
39.	Q39. Which JSP action is used to pass parameters to another resource?
•	a) <jsp:param>  ✅
•	b) <jsp:forward>
•	c) <jsp:include>
•	d) <jsp:useBean>
40.	Q40. Which Spring annotation is used to automatically inject dependencies?
•	a) @Autowired  ✅
•	b) @Inject
•	c) @Resource
•	d) @Service

================================================================================================================================================
================================================================================================================================================


QuestionID  :  9345         Subject Name  Enterprise Java
Q1. What Class.forName will do while loding drivers?
1.  load the driver ✔️
2.  create an instance of a driver
3.  initialize the driver
4.  register driver with the DriverManager 

Your Answer : 4

---

QuestionID  :  9756         Subject Name  Enterprise Java
Q2. Which is not a method of HttpServlet?
1.  doSend
2.  doPut
3.  doOption
4.  doDelete

Your Answer : 1

---

QuestionID  :  9759         Subject Name  Enterprise Java
Q3. Struts implements the MVC/Layers pattern through the use of ------and-------to keep control-flow decisions out of presentation layer.
1.  ActionForward,ActionMapping ✔️
2. ActionForward,ActionMapping,Actionform
3. Actionjsp,ActionMapping
4. ActionResponce,Actionjsp

Your Answer : 1

---

QuestionID  :  9760         Subject Name  Enterprise Java
Q4. Which statement is correct.
1. The response from the server to a HEAD request consists of status line. Content type and the document.
2. The response from server to GEt request does not contain document.
3. The setStatus method defined in HttpServletRequest class takes an int as an argument and sets the status of the Http response.
4.  HttpServletResponse defines consatnts like SC_NOT_FOUND that may be used as parameter to a setStatus method. ✔️

Your Answer : 4

---

QuestionID  :  9809         Subject Name  Enterprise Java
Q5. The idea behind the J2EE platform is to provide a simple,_____ standard
for distributed application through a component-based application model.
1.  effective
2.  efficient
3.  unified ✔️
4.  None

Your Answer : 2

---

QuestionID  :  10304         Subject Name  Enterprise Java
Q6. The MIME stand for ___________________.
1.  Multipurpose internet mail execution
2.  Multipurpose internet method extension
3.  Multipurpose internet mail extension ✔️
4.  Multipurpose invalid mail extension
 
Your Answer : 3

---

QuestionID  :  10313         Subject Name  Enterprise Java
Q7. How Many Implicit Object In JSP?
1.  6
2.  7 ✔️
3.  5
4.  None Of Above

Your Answer : 4

---

QuestionID  :  10318         Subject Name  Enterprise Java
Q8. What is the key difference between using a < jsp:forward > and HttpServletResponse.sendRedirect()?
1.  forward executes on the client while sendRedirect() executes on the server ✔️
2.  forward executes on the server while sendRedirect() executes on the client
3. The two methods perform identically.
4.  none

Your Answer : 2

---

QuestionID  :  10959         Subject Name  Enterprise Java
Q9. An enterprise beans allowed to use Thread.sleep()
FALSE ✔️
Your Answer : true

---

QuestionID  :  10960         Subject Name  Enterprise Java
Q10. Can we use constructor , instead of init(),to initialize servlet?

Your Answer : true ✔️

---

QuestionID  :  12756         Subject Name  Enterprise Java
Q11. When the ejbRemove method encounters a sysyem problem ,it should throw_________
1.  javax.ejb.NoSuchEntityException
2.  java.ejb.EJBException ✔️
3.  java.ejb.RemoveException
4.  javax.ejb.DuplicateKeyException

Your Answer : 2

---

QuestionID  :  12802         Subject Name  Enterprise Java
Q12. ___________ is a block of java code in JSP that is used define class-wide variables and methods in the generated class file
1.  scriplets
2.  declarations ✔️
3.  element
4.  expression

Your Answer : 2

---

QuestionID  :  12803         Subject Name  Enterprise Java
Q13. Which of the following is not an implicit object ?
1.  date ✔️
2.  request
3.  out
4.  pagecontext
 
Your Answer : 1

---

QuestionID  :  12828         Subject Name  Enterprise Java
Q14. An Enterprise JavaBeans can be deployed in _______
1.  J2EE server
2. Weblogic
3. Web sphere
4. All of the above ✔️

Your Answer : 4

---

QuestionID  :  12838         Subject Name  Enterprise Java
Q15. getLastModified method belongs to which interface ?
1.  Servlet Interface
2.  HttpServlet Interface ✔️
3.  Generic Servlet
4.  HttpServletRequest 

Your Answer : 1

---

QuestionID  :  12839         Subject Name  Enterprise Java
Q16. Consider the following HTML page code:

< html > < body >
< a href="/servlet/HelloServlet" >POST< /a >
< /body >< /html >

Which method of HelloServIet will be invoked when the hyperlink is clicked?
1.  doGet ✔️
2.  doPost
3.  doHref
4.  servicePost

Your Answer : 1

---

QuestionID  :  12855         Subject Name  Enterprise Java
Q17. A JSP page called test.jsp is passed a parameter name in the URL using [http://localhost/test.jsp?name="John](http://localhost/test.jsp?name=%22John)". The test.jsp contains the following code.

< %! String myName=request.getParameter();% >
< % String test= "welcome" + myName; % >
< %= test% >

1. The program prints "Welcome John"
2. The program gives a syntax error because of the statement
< %! String myName=request.getParameter();% > ✔️
3. The program gives a syntax error because of the statement
< % String test= "welcome" + myName; % >
4. The program gives a syntax error because of the statement < %= test% >

Your Answer : 2

---

QuestionID  :  12877         Subject Name  Enterprise Java
Q18. Which of the following lines would you use to include the output of Data-Servlett into any other serviet

 1.  RequestDispatcher rd=request. getRequestDispatcher("/Bervlet/DataServlet"); rd.include(request, response) ✔️
 2.  RequestDispatcher rd = request .getRequest:Dispatcher("/servlet/DataSel•vlet");
rd.include(response)
 3.  RequestDispatcher rd = request.geCRequestDispatcher();  
rd.inelude("/servIet/DataServIet",reguest,response);
 4.  RequestDispatcher rd = request.getRequestDispatcher();  
rd. include ("/servlet/Dataservlet" ,response)

Your Answer : 1

---

QuestionID  :  12889         Subject Name  Enterprise Java
Q19. The page directive is used to convey information about the page to JSP container. Which of these is legal syntax of page directive.
1.  < % page info="test page" % >
2.  < %@ page info="test page" session="false"% > ✔️
3.  < %@ page isThreadSafe=true % >
4.  < %@ page isErrorPage="errorPage.jsp" % >

Your Answer :  2

---

QuestionID  :  12907         Subject Name  Enterprise Java
Q20. Which of the elements defined within the taglib element of taglib descriptor file are required.
1.  uri
2.  jsp-version  ✔️
3.  display-name
4.  None

Your Answer :  1

---

QuestionID  :  12911         Subject Name  Enterprise Java
Q21. Name the element within the tag element that defines the tag class that implements the functionality of tag.
1.  tag
2.  tag-class ✔️
3.  tag-name
4.  tag-uri

Your Answer :  2

---

QuestionID  :  12927         Subject Name  Enterprise Java
Q22. Which of the following statements are correct about the status of the Http response.
1.
A status of 200 to 299 signifies that the request file has moved.
2.
A status of 300 to 399 is informational messages.
3. 
A status of 400 to 499 indicates an error in the client.  ✔️
4.
A status of 500 to 599 signifies that the request was successful.

Your Answer :  3

---

QuestionID  :  12985         Subject Name  Enterprise Java
Q23. Assuming custom tag being ABHISHEK and prefix being SUNBEAM the syntax for empty custom tag
1.  < ABHISHEK: SUNBEAM / >
2.  < SUNBEAM: ABHISHEK >
3.  < ABHISHEK: SUNBEAM >< /ABHISHEK: SUNBEAM >
4.  < SUNBEAM: ABHISHEK >< /SUNBEAM: ABHISHEK > ✔️

Your Answer : 4

---

QuestionID  :  13011         Subject Name  Enterprise Java
Q24. ___________ pattern enables improved network traffic and response time. Fewer remote calls are made and less data is passed back and forth
1.  Value Objects ✔️
2.  Data Access Objects
3.  Facade
4.  Business Delegate
 
Your Answer :  1

---

QuestionID  :  13283         Subject Name  Enterprise Java
Q25. You have a J2EE application in which the programmer did not follow the programming restrictions listed in the EJB specification. This means that the application will surely not function properly

Your Answer : false ✔️

---

QuestionID  :  13288         Subject Name  Enterprise Java
Q26. Which of the following of beans would survive a server crash
1.  Entity beans ✔️
2.  Stateless session beans
3.  Stateful session beans
4.  Message-driven beans

Your Answer : 1

---

QuestionID  :  13317         Subject Name  Enterprise Java
Q27. Which of the following statements are true about locating or using the home interface of a session bean
1.  Once acquired, the home interface can be used only once
2.  Each instance of a session bean has its own EJBHome object
3. The InitialContext must be narrowed before it can be used to get the home interface
4.  None of the above ✔️

Your Answer :   3

---

QuestionID  :  13386         Subject Name  Enterprise Java
Q28. Which of the following statements are correct about a session bean whose class
contains the following method? public void ejbCreate (String id)
1.  It is a Stateless session bean
2.  The home interface of the bean has the method create (String id) declared in it ✔️
3. The component interface of the bean has the method ejbCreate (Stringid) declared in it
4.  None of the above

Your Answer : 2

---

QuestionID  :  13448         Subject Name  Enterprise Java
Q29. Which of the following methods belong to the SessionContext interface, directly or by inheritance
1.  ejbCreate()
2.  ejbActivate()
3.  getRollbackOnly()
4.  None of the above

Your Answer :  3

---

QuestionID  :  13503         Subject Name  Enterprise Java
Q30. What are valid methods for HttpSessionListener interface.
1.  sessionRemoved
2.  sessionDestroyed ✔️
3.  sessionReCreated
4.  sessionReplaced

Your Answer : 2

---

QuestionID  :  13534         Subject Name  Enterprise Java
Q31. Sites using HTTPS that is HTTP plus SSL(Secure Sockets Layer ) can be identified by
1.
There is no way one can detect that site uses HTTPS protocol
2.
The URL of the website begins with https: instead of http: ✔️
3.
